t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11350.0,2.0,0.0,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
0.25,11349.771271554571,2.1724784454281183,0.05625,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
0.5,11349.52282275271,2.3598262910126895,0.11735095627766583,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
0.75,11349.252954399493,2.563324529794485,0.18372107071239774,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
1.0,11348.959821077091,2.7843643497969954,0.2558145731128676,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
1.25,11348.641418595373,3.024456584177025,0.3341248204509081,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
1.5,11348.295570371565,3.285241966554909,0.4191876618808869,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
1.75,11347.91991264863,3.5685022591809656,0.5115850921902437,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
2.0,11347.511878454663,3.8761723271082023,0.6119492182297084,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
2.25,11347.068680197599,4.210353237472614,0.7209665649296266,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
2.5,11346.58729078091,4.57332646935737,0.8393827497335439,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
2.75,11346.064423116755,4.967569326562003,0.9680075566842199,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
3.0,11345.49650790307,5.395771652938654,1.1077204439937762,1.05,1.05,0.9,0.45753749999999993,0.1125,10.5,0.043574999999999996,2.0,11352.0
