t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
0.25,10791.995906007753,544.379093992248,15.625,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
0.5,10727.027187031126,592.3359662816175,32.63684668725775,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
0.75,10656.760645547025,644.0920088194183,51.1473456335583,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
1.0,10580.854975956905,699.8698031339322,71.27522090916513,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
1.25,10498.96342227876,759.8904254641417,93.14615225710051,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
1.5,10410.737036536711,824.370235410437,116.89272805285493,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
1.75,10315.828588255628,893.5171138349438,142.65429790943108,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
2.0,10213.89716564994,967.5261266332907,170.57670771677306,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
2.25,10104.613494538342,1046.5746062875978,200.8118991740634,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
2.5,9987.66598102904,1130.8166633504113,233.51735562055083,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
2.75,9862.767458064598,1220.377165585153,268.85537635025116,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
3.0,9729.662583714944,1315.3452535102706,306.9921627747872,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
3.25,9588.135800775966,1415.7674972770528,348.0967019469831,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
3.5,9438.01972341482,1521.640840348291,392.339436236891,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
3.75,9279.20376861509,1632.9055188871369,439.8907124977751,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
4.0,9111.642800110181,1749.4381899268237,490.91900996299813,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
4.25,8935.365503292433,1871.0455433093598,545.5889533982114,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
4.5,8750.482165018038,1997.4587083553372,604.0591266266289,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
4.75,8557.191496764917,2128.3287919723543,666.4797112627332,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
5.0,8355.786118150334,2263.2238958378016,732.9899860118693,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
5.25,8146.656315309476,2401.6279519337286,803.7157327568005,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
5.5,7930.2917094802415,2542.941684265034,878.7666062547296,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
5.75,7707.280518559574,2686.485947552419,958.233533888012,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
6.0,7478.306169761733,2831.507610489247,1042.186219749025,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
6.25,7244.14112372544,2977.1880436977513,1130.670832576814,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
6.5,7005.6378955180935,3122.6541455395427,1223.7079589423688,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
6.75,6763.717399033775,3266.9916999757497,1321.2909009904795,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
7.0,6519.354888676344,3409.260719708939,1423.3843916147216,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
7.25,6273.563914441321,3548.5122964530583,1529.923789105626,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
7.5,6027.378831269203,3683.806370361018,1640.814798369784,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
7.75,5781.8364991877415,3814.229753368698,1755.9337474435658,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
8.0,5537.957867764055,3938.913704999613,1875.1284272363378,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
8.25,5296.730150654059,4057.0503688283707,1998.2194805175757,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
8.5,5059.090261805794,4167.907433650748,2125.0023045434623,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
8.75,4825.91010703899,4270.840481115967,2255.249411845048,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
9.0,4597.9842105007665,4365.302612619316,2388.7131768799222,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
9.25,4376.020015484745,4450.8511009909835,2525.128883524276,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
9.5,4160.631045898488,4527.150973671272,2664.217980430244,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
9.75,3952.332961292741,4593.975590349793,2805.6914483574715,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
10.0,3751.542396744039,4651.204417700064,2949.2531855559023,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
10.25,3558.5783585968916,4698.818317794085,3094.6033236090293,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
10.5,3373.6658545960504,4736.892749363861,3241.4413960400943,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
10.75,3196.941375355479,4765.589330186812,3389.469294457715,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
11.0,3028.459813302871,4785.146225671082,3538.3939610260527,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
11.25,2868.202402446665,4795.867816975067,3687.929780578274,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
11.5,2716.0852829003215,4798.11406724094,3837.8006498587447,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
11.75,2571.968332386909,4792.289953153073,3987.741714460024,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
12.0,2435.6639569847566,4778.835267519192,4137.500775496058,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
12.25,2306.9455895629453,4758.215032831028,4286.839377606033,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
12.5,2185.5557018793475,4730.9107007386565,4435.533597382003,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
12.75,2071.2131913837648,4697.412251836156,4583.374556780086,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
13.0,1963.6200536886158,4658.211256661426,4730.168689649966,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
13.25,1862.467294778717,4613.794913800655,4875.737791420635,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
13.5,1767.4400725608618,4564.64104496224,5019.918882476906,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
13.75,1678.2220852395621,4511.2139996284695,5162.5639151319765,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
14.0,1594.499244694177,4453.961402685465,5303.539352620366,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
14.25,1515.9626873003624,4393.3116662453585,5442.725646454287,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
14.5,1442.3111834363285,4329.672180539225,5580.016636024455,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
14.75,1373.2530112484621,4263.428097085241,5715.318891666306,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
15.0,1308.5073610976558,4194.941619202134,5848.5510197002195,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
15.25,1247.8053353571504,4124.551719342572,5979.642945300287,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
15.5,1190.8906046576042,4052.574208812663,6108.535186529742,1.1,1.1,1.0,0.50215,0.125,11.0,0.045649999999999996,500.0,11352.0
