t,S,I,R
0.0,7210.0,1.0,0.0
0.25,7209.951144464816,1.0271888685170343,0.021666666666666667
0.5,7209.9009609429595,1.0551166315554534,0.043922425484535746
0.75,7209.8494133633285,1.083803350835818,0.06678328583490391
1.0,7209.7964646764885,1.113269631741096,0.09026569176967997
1.25,7209.742076828216,1.1435366379926646,0.11438653379073704
1.5,7209.686210732333,1.1746261067193418,0.1391631609472448
1.75,7209.628826242811,1.2065603639297997,0.1646133932594972
2.0,7209.569882125123,1.239362340398974,0.1907555344779762
2.25,7209.509336026834,1.2730555879793517,0.21760838518662062
2.5,7209.447144447392,1.3076642963482996,0.24519125625950658
2.75,7209.383262707117,1.3432133102028703,0.2735239826803864
3.0,7209.317644915352,1.3797281469138165,0.30262693773478194
3.25,7209.250243937765,1.417235014650838,0.3325210475845813
3.5,7209.1810113627735,1.4557608309913834,0.36322780623534945
3.75,7209.109897467068,1.495333242025644,0.39476929090682944
4.0,7209.036851180212,1.5359806419706832,0.42716817781738503
4.25,7208.961820048299,1.577732193306977,0.4604477583934165
4.5,7208.884750196634,1.6206178474509614,0.4946319559150677
4.75,7208.8055862914125,1.6646683659775254,0.5297453426098385
5.0,7208.724271500387,1.7099153424067288,0.5658131572060182
5.25,7208.640747452472,1.756391224569376,0.602861322958164
5.5,7208.554954196276,1.8041293375664367,0.6409164661571671
5.75,7208.466830157525,1.8531639073376693,0.6800059351377733
6.0,7208.376312095348,1.9035300848551788,0.7201578197967562
6.25,7208.2833350574065,1.9552639709580204,0.7614009716352851
6.5,7208.187832333816,2.008402641844352,0.8037650243393756
6.75,7208.089735409849,2.0629841752380376,0.8472804149126699
7.0,7207.988973917376,2.1190476772470017,0.8919784053761607
7.25,7207.885475585018,2.1766333099310646,0.9378911050498457
7.5,7207.77916618697,2.23578231959739,0.9850514934316855
7.75,7207.669969490467,2.296537065842123,1.033493443689629
8.0,7207.557807201859,2.3589410513572324,1.083251746782875
8.25,7207.442598911248,2.4230389525220053,1.1343621362289484
8.5,7207.324262035666,2.4888766507991162,1.186861313533592
8.75,7207.202711760742,2.5565012649556453,1.2407869743009061
9.0,7207.077860980828,2.6259611841298898,1.2961778350416118
9.25,7206.949620237536,2.6973061017653017,1.3530736606977594
9.5,7206.817897656662,2.7705870504333707,1.4115152929026742
9.75,7206.682598883435,2.845856437567762,1.4715446789953972
10.0,7206.543627016056,2.923168082132532,1.5332049018093654
10.25,7206.400882537495,3.0025772522477565,1.5965402102555704
10.5,7206.254263245481,3.0841407037964252,1.6615960507209384
10.75,7206.103664180658,3.167916720036986,1.7284190993031943
11.0,7205.948977552847,3.2539651522464643,1.7970572949039956
11.25,7205.790092665376,3.342347461419627,1.867559873202669
11.5,7205.626895837414,3.433126761050209,1.9399774015334277
11.75,7205.459270324287,3.5263678610207894,2.0143618146895155
12.0,7205.28709623569,3.6221373126284635,2.090766451678299
12.25,7205.110250451771,3.720503454774043,2.1692460934519158
12.5,7204.928606537015,3.821536461343088,2.2498570016386865
12.75,7204.742034651888,3.9253083898076677,2.3326569583011203
13.0,7204.550401462172,4.031893231078347,2.417705306746953
13.25,7204.353570045941,4.141366960636487,2.5050629934203172
13.5,7204.151399798119,4.253807590977564,2.5947926109007744
13.75,7203.943746332562,4.369295225396805,2.6869584420386214
14.0,7203.730461381593,4.487912113149094,2.781626505255552
14.25,7203.511392692942,4.609742706015663,2.878864601040449
14.5,7203.286383924016,4.734873716310766,2.9787423596707883
14.75,7203.055274533444,4.863394176362124,3.081331290190855
15.0,7202.817899669819,4.995395499499563,3.186704830678701
15.25,7202.574090057576,5.130971542586919,3.294938399834525
15.5,7202.32367187994,5.270218670132885,3.4061094499239086
15.75,7202.066466658869,5.41323582001713,3.520297521110121
16.0,7201.802291131918,5.560124570868643,3.637584297210492
16.25,7201.53095712595,5.710989211133883,3.758053662912646
16.5,7201.2522714276365,5.865936809872938,3.8817917624872136
16.75,7200.966035650639,6.025077289322531,4.008887060034461
17.0,7200.6720460994275,6.188523499265318,4.139430401303115
17.25,7200.37009362963,6.356391293245532,4.27351507712053
17.5,7200.05996350485,6.528799606671635,4.411236888474184
17.75,7199.741435249864,6.705870536847229,4.5526942132854025
18.0,7199.414282500107,6.88772942497207,4.697988074917093
18.25,7199.078272847382,7.0745049401555775,4.8472222124581545
18.5,7198.733167681682,7.266329165485804,5.000503152828192
18.75,7198.3787220290515,7.463337686197371,5.157940284747051
19.0,7198.014684385399,7.6656696799823765,5.319645934614661
19.25,7197.640796546159,7.873468009488804,5.485735444347612
19.5,7197.256793431725,8.086879317051423,5.65632725121987
19.75,7196.8624029085395,8.306054121700623,5.831542969755984
20.0,7196.457345605775,8.531146918495065,6.011507475726164
20.25,7196.041334727478,8.762316280224399,6.196348992293557
20.5,7195.614075860102,8.999724961528669,6.386199178365086
20.75,7195.175266775316,9.243540005481353,6.581193219198207
21.0,7194.724597227995,9.493932852683258,6.78146991931697
21.25,7194.261748749289,9.75107945291473,6.987171797791774
21.5,7193.786394434664,10.015160379393823,7.19844518593826
21.75,7193.298198726816,10.286360945688227,7.415440327491793
22.0,7192.796817193352,10.5648713253288,7.638311481315038
22.25,7192.281896299126,10.850886674172628,7.867217026697162
22.5,7191.753073173128,11.144607255563416,8.102319571304236
22.75,7191.209975369817,11.446238568336987,8.343786061841444
23.0,7190.652220624787,11.755991477719396,8.591787897488745
23.25,7190.079416604658,12.07408234916495,8.846501046172666
23.5,7189.491160651077,12.400733185181045,9.108106163737906
23.75,7188.887039518726,12.736171765186286,9.376788716083496
24.0,7188.266629107219,13.08063178844781,9.652739104329198
24.25,7187.6294941867745,13.434353020143066,9.9361527930789
24.5,7186.975188117557,13.797581440590534,10.227230441848667
24.75,7186.303252562575,14.170569397693018,10.526178039728128
25.0,7185.613217194015,14.553575762636049,10.83320704334481
25.25,7184.904599392911,14.946866088882837,11.148534518201924
25.5,7184.176903942029,15.350712774505904,11.472383283461053
25.75,7183.429622711859,15.765395227894034,11.804982060242015
26.0,7182.662234339611,16.191200036871564,12.146565623513052
26.25,7181.874203901085,16.628421141265267,12.497374957645269
26.5,7181.064982575337,17.07736000895205,12.857657415706017
26.75,7180.2340073020105,17.53832581541851,13.227666882566645
27.0,7179.380700431234,18.01163562686102,13.607663941900713
27.25,7178.504469365994,18.497614586852343,13.997916047149367
27.5,7177.604706196867,18.996596106598002,14.398697696531167
27.75,7176.680787329019,19.508922058802423,14.810290612174125
28.0,7175.732073101386,20.03494297516159,15.232983923448177
28.25,7174.757907397924,20.57501824749527,15.667074354576679
28.5,7173.7576172508625,21.129516332527878,16.112866416605744
28.75,7172.730512435863,21.698814960322945,16.570672603810515
29.0,7171.675885059008,22.283301346371385,17.04081359461751
29.25,7170.593009135546,22.88337240732897,17.523618457122225
29.5,7169.481140160323,23.49943498039313,18.01942485928102
29.75,7168.339514669838,24.131906046303442,18.528579283856203
30.0,7167.16734979586,24.78121295594421,19.051437248192777
30.25,7165.963842810571,25.447793660520983,19.5883635289049
30.5,7164.728170663171,26.132096945275922,20.139732391549522
30.75,7163.4594895079335,26.834582666699585,20.705927825363833
31.0,7162.156934223666,27.555721993188737,21.287343783142326
31.25,7160.819617924578,28.295997649091422,21.884384426328083
31.5,7159.446631462534,29.055904162071627,22.49746437539173
31.75,7158.037042920711,29.83594811371627,23.12700896556995
32.0,7156.589897098666,30.636648393297257,23.7734545080338
32.25,7155.104214988852,31.458536454590543,24.437248556555243
32.5,7153.578993244617,32.30215657564285,25.11885017973804
32.75,7152.013203639756,33.16806612136457,25.818730238876967
33.0,7150.405792519677,34.05683580881479,26.53737167150653
33.25,7148.75568024427,34.969049975030664,27.275269780697517
33.5,7147.0617606226015,35.90530684723937,28.032932530156515
33.75,7145.322900339542,36.86621881527569,28.810880845180034
34.0,7143.537938374474,37.852412706012295,29.609648919511006
34.25,7141.705685412263,38.864530059593456,30.429784528141273
34.5,7139.824923246654,39.90322740724466,31.27184934609913
34.75,7137.894404176329,40.96917655041256,32.136419273256095
35.0,7135.9128503938455,42.06306484096994,33.0240847651817
35.25,7133.878953367728,43.185595462199615,33.93545117006938
35.5,7131.791373217997,44.33748771025,34.87113907175037
35.75,7129.64873808546,45.51947727573201,35.831784638805786
36.0,7127.449643495114,46.73231652510332,36.81803997977998
36.25,7125.1926517140455,47.97677478146116,37.83057350449055
36.5,7122.876291104237,49.25363860433833,38.87007029142221
36.75,7120.499055470745,50.563712068070146,39.93723246118287
37.0,7118.059403405736,51.90781703827115,41.03277955599106
37.25,7115.555757628914,53.28679344593043,42.1574489251536
37.5,7112.986504324913,54.70149955860335,43.31199611648209
37.75,7110.349992478268,56.15281224814459,44.49719527358516
38.0,7107.644533206643,57.64162725439349,45.71383953896163
38.25,7104.868399093004,59.16885944418721,46.96274146280682
38.5,7102.019823517527,60.73544306504023,48.24473341743087
38.75,7099.096999990034,62.34233199279023,49.56066801717341
39.0,7096.098081483844,63.9904999724706,50.911418543683865
39.25,7093.021179771949,65.68094085162822,52.29787937642073
39.5,7089.86436476653,67.41466880526208,53.72096642820601
