I0,peak_I,peak_I_fraction,time_to_peak,total_infected,attack_rate,beta,gamma,contact_rate,infection_prob,R0_eff,scenario_id,scale_contact,scale_infection_prob,scale_gamma,csv_path,plot_path,heatmap_path,scenario_wall_time
1.0,3203.5971414959554,0.28220552691120115,47.0,10549.898060152202,0.9293426761938162,0.33614999999999995,0.11875,9.0,0.037349999999999994,2.8307368421052628,2.0,0.9,0.9,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1187_timeseries.png,,0.35671989992260933
1.0,2585.460143425182,0.22775371242293713,49.75,10070.730585380346,0.8871327154140545,0.33614999999999995,0.1375,9.0,0.037349999999999994,2.444727272727272,5.0,0.9,0.9,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1375_timeseries.png,,0.5492728999815881
1.0,3433.4320175075104,0.3024517281102458,43.75,10686.743803082363,0.9413974456555994,0.35482499999999995,0.11875,9.0,0.039424999999999995,2.9879999999999995,7.0,0.9,0.95,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1187_timeseries.png,,0.7429572001565248
1.0,3660.11086733718,0.32241991431793343,43.0,10802.76935531266,0.951618160263624,0.35482499999999995,0.1125,9.0,0.039424999999999995,3.1539999999999995,6.0,0.9,0.95,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1125_timeseries.png,,0.9451152000110596
1.0,3431.2322109103848,0.30225794669753214,46.0,10684.939783478907,0.9412385292000447,0.33614999999999995,0.1125,9.0,0.037349999999999994,2.9879999999999995,1.0,0.9,0.9,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1125_timeseries.png,,1.1593414000235498
1.0,2987.1425148054745,0.26313799460936177,47.75,10402.3263322395,0.9163430525228594,0.33614999999999995,0.125,9.0,0.037349999999999994,2.6891999999999996,3.0,0.9,0.9,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1250_timeseries.png,,1.3626812999136746
1.0,2781.2639094746773,0.2450021061905107,48.75,10242.505534825399,0.9022644058161909,0.33614999999999995,0.13125,9.0,0.037349999999999994,2.5611428571428565,4.0,0.9,0.9,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1313_timeseries.png,,1.572884599911049
1.0,2814.678182430921,0.2479455763240769,46.0,10270.738649139264,0.9047514666260804,0.35482499999999995,0.1375,9.0,0.039424999999999995,2.580545454545454,10.0,0.9,0.95,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1375_timeseries.png,,1.7399015999399126
1.0,3217.316055249652,0.28341402882748873,44.5,10559.247942277014,0.9301663092210195,0.35482499999999995,0.125,9.0,0.039424999999999995,2.8385999999999996,8.0,0.9,0.95,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1250_timeseries.png,,1.962204499868676
1.0,3011.2820973357484,0.26526445536784254,45.25,10420.49931163334,0.9179439139916614,0.35482499999999995,0.13125,9.0,0.039424999999999995,2.703428571428571,9.0,0.9,0.95,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1313_timeseries.png,,2.1468004998750985
