I0,peak_I,peak_I_fraction,time_to_peak,total_infected,attack_rate,beta,gamma,contact_rate,infection_prob,R0_eff,S_eq,I_eq,R_eq,S_crit,S_crit_fraction,scenario_id,scale_contact,scale_infection_prob,scale_gamma,csv_path,plot_path,heatmap_path,scenario_wall_time
1.0,3431.2322109103848,0.30225794669753214,46.0,10677.739408557403,0.940604246701674,0.33614999999999995,0.1125,9.0,0.037349999999999994,2.9879999999999995,11352.0,0.0,0.0,3799.1967871485954,0.3346720214190094,1.0,0.9,0.9,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1125_timeseries.png,,0.6977695000823587
1.0,3203.5971414959554,0.28220552691120115,47.0,10543.534056958177,0.9287820698518479,0.33614999999999995,0.11875,9.0,0.037349999999999994,2.8307368421052628,11352.0,0.0,0.0,4010.2632753235166,0.3532649114978433,2.0,0.9,0.9,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1187_timeseries.png,,0.8587207000236958
1.0,2987.1425148054745,0.26313799460936177,47.75,10396.513450556302,0.9158309945874121,0.33614999999999995,0.125,9.0,0.037349999999999994,2.6891999999999996,11352.0,0.0,0.0,4221.329763498439,0.37185780157667714,3.0,0.9,0.9,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1250_timeseries.png,,3.383256800007075
1.0,2781.2639094746773,0.2450021061905107,48.75,10237.023729422037,0.9017815124578962,0.33614999999999995,0.13125,9.0,0.037349999999999994,2.5611428571428565,11352.0,0.0,0.0,4432.396251673361,0.390450691655511,4.0,0.9,0.9,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1313_timeseries.png,,3.7163712000474334
1.0,2585.460143425182,0.22775371242293713,49.75,10065.398730679182,0.8866630312437617,0.33614999999999995,0.1375,9.0,0.037349999999999994,2.444727272727272,11352.0,0.0,0.0,4643.462739848283,0.4090435817343449,5.0,0.9,0.9,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0373_beta_0.3361_gamma_0.1375_timeseries.png,,1.7016431998927146
1.0,3660.11086733718,0.32241991431793343,43.0,10798.235374733154,0.951218760987769,0.35482499999999995,0.1125,9.0,0.039424999999999995,3.1539999999999995,11352.0,0.0,0.0,3599.2390615091954,0.3170577045022195,6.0,0.9,0.95,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1125_timeseries.png,,2.8687239999417216
1.0,3433.4320175075104,0.3024517281102458,43.75,10682.900488294783,0.9410588872705059,0.35482499999999995,0.11875,9.0,0.039424999999999995,2.9879999999999995,11352.0,0.0,0.0,3799.196787148595,0.3346720214190094,7.0,0.9,0.95,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1187_timeseries.png,,3.5428234999999404
1.0,3217.316055249652,0.28341402882748873,44.5,10555.88200069331,0.929869802739016,0.35482499999999995,0.125,9.0,0.039424999999999995,2.8385999999999996,11352.0,0.0,0.0,3999.1545127879945,0.35228633833579936,8.0,0.9,0.95,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1250_timeseries.png,,4.040903499815613
1.0,3011.2820973357484,0.26526445536784254,45.25,10417.45596264001,0.9176758247568719,0.35482499999999995,0.13125,9.0,0.039424999999999995,2.703428571428571,11352.0,0.0,0.0,4199.112238427395,0.36990065525258936,9.0,0.9,0.95,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1313_timeseries.png,,2.025283999973908
1.0,2814.678182430921,0.2479455763240769,46.0,10267.900255916024,0.9045014319869648,0.35482499999999995,0.1375,9.0,0.039424999999999995,2.580545454545454,11352.0,0.0,0.0,4399.0699640667945,0.38751497216937936,10.0,0.9,0.95,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0394_beta_0.3548_gamma_0.1375_timeseries.png,,4.204636000096798
1.0,3875.665772003973,0.3414081899228306,40.25,10895.522431564868,0.9597887977065599,0.37349999999999994,0.1125,9.0,0.041499999999999995,3.3199999999999994,11352.0,0.0,0.0,3419.277108433736,0.30120481927710846,11.0,0.9,1.0,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1125_timeseries.png,,2.1960938998963684
