t,S,I,R,beta,delta,contact_rate,infection_prob,I0
0.0,11347.0,5.0,0.0,0.04,0.07142857142857142,2.0,0.02,5
0.25,11346.950022022551,4.960692263163193,0.08928571428571427,0.04,0.07142857142857142,2.0,0.02,5
0.5,11346.900437167737,4.921693327563472,0.1778695046993427,0.04,0.07142857142857142,2.0,0.02,5
0.75,11346.851242343768,4.883000770683588,0.2657568855486904,0.04,0.07142857142857142,2.0,0.02,5
1.0,11346.802434483161,4.8446121889570675,0.3529533278823259,0.04,0.07142857142857142,2.0,0.02,5
1.25,11346.754010542552,4.8065251976208,0.4394642598279878,0.04,0.07142857142857142,2.0,0.02,5
1.5,11346.705967502505,4.768737430568771,0.5252950669283593,0.04,0.07142857142857142,2.0,0.02,5
1.75,11346.658302367321,4.731246540206909,0.6104510924742301,0.04,0.07142857142857142,2.0,0.02,5
2.0,11346.611012164858,4.6940501973090605,0.6949376378350678,0.04,0.07142857142857142,2.0,0.02,5
2.25,11346.564093946341,4.657146090874063,0.7787599627870153,0.04,0.07142857142857142,2.0,0.02,5
2.5,11346.51754478618,4.620531927983922,0.8619232858383379,0.04,0.07142857142857142,2.0,0.02,5
2.75,11346.471361781787,4.584205433663083,0.9444327845523365,0.04,0.07142857142857142,2.0,0.02,5
3.0,11346.425542053395,4.548164350738776,1.0262935958677486,0.04,0.07142857142857142,2.0,0.02,5
3.25,11346.380082743883,4.512406439702447,1.1075108164166554,0.04,0.07142857142857142,2.0,0.02,5
3.5,11346.33498101859,4.476929478572252,1.1880895028399134,0.04,0.07142857142857142,2.0,0.02,5
3.75,11346.290234065145,4.441731262756605,1.2680346721001323,0.04,0.07142857142857142,2.0,0.02,5
4.0,11346.245839093292,4.4068096049187835,1.3473513017922145,0.04,0.07142857142857142,2.0,0.02,5
4.25,11346.201793334709,4.372162334842576,1.4260443304514785,0.04,0.07142857142857142,2.0,0.02,5
4.5,11346.158094042845,4.337787299298962,1.5041186578593817,0.04,0.07142857142857142,2.0,0.02,5
4.75,11346.114738492743,4.303682361913821,1.581579145346863,0.04,0.07142857142857142,2.0,0.02,5
5.0,11346.071723980871,4.269845403036662,1.6584306160953242,0.04,0.07142857142857142,2.0,0.02,5
5.25,11346.029047824957,4.236274319610361,1.7346778554352646,0.04,0.07142857142857142,2.0,0.02,5
5.5,11345.986707363818,4.202967025041911,1.8103256111425925,0.04,0.07142857142857142,2.0,0.02,5
5.75,11345.944699957196,4.169921449074158,1.8853785937326266,0.04,0.07142857142857142,2.0,0.02,5
6.0,11345.903022985593,4.137135537658536,1.959841476751808,0.04,0.07142857142857142,2.0,0.02,5
6.25,11345.861673850108,4.104607252828777,2.033718897067139,0.04,0.07142857142857142,2.0,0.02,5
6.5,11345.820649972275,4.072334572575598,2.1070154551533675,0.04,0.07142857142857142,2.0,0.02,5
6.75,11345.779948793903,4.040315490722356,2.179735715377932,0.04,0.07142857142857142,2.0,0.02,5
7.0,11345.739567776918,4.008548016801658,2.2518842062836883,0.04,0.07142857142857142,2.0,0.02,5
7.25,11345.699504403201,3.9770301759329336,2.3234654208694323,0.04,0.07142857142857142,2.0,0.02,5
7.5,11345.659756174435,3.9457600087009377,2.3944838168682345,0.04,0.07142857142857142,2.0,0.02,5
7.75,11345.620320611944,3.914735571035205,2.464943817023608,0.04,0.07142857142857142,2.0,0.02,5
8.0,11345.58119525655,3.883954934090428,2.5348498093635228,0.04,0.07142857142857142,2.0,0.02,5
8.25,11345.542377668404,3.853416184127759,2.60420614747228,0.04,0.07142857142857142,2.0,0.02,5
8.5,11345.503865426846,3.823117422397035,2.673017150760276,0.04,0.07142857142857142,2.0,0.02,5
8.75,11345.465656130253,3.793056765019904,2.7412871047316516,0.04,0.07142857142857142,2.0,0.02,5
9.0,11345.427747395881,3.76323234287386,2.8090202612498643,0.04,0.07142857142857142,2.0,0.02,5
9.25,11345.390136859727,3.7336423014771736,2.876220838801183,0.04,0.07142857142857142,2.0,0.02,5
9.5,11345.352822176375,3.7042848008747096,2.9428930227561327,0.04,0.07142857142857142,2.0,0.02,5
9.75,11345.315801018853,3.6751580155246293,3.0090409656288952,0.04,0.07142857142857142,2.0,0.02,5
10.0,11345.279071078485,3.6462601341859684,3.074668787334692,0.04,0.07142857142857142,2.0,0.02,5
10.25,11345.242630064753,3.617589359807083,3.139780575445156,0.04,0.07142857142857142,2.0,0.02,5
10.5,11345.206475705148,3.5891439094149606,3.204380385441711,0.04,0.07142857142857142,2.0,0.02,5
10.75,11345.170605745032,3.5609220140053846,3.268472240966978,0.04,0.07142857142857142,2.0,0.02,5
11.0,11345.135017947496,3.5329219184339493,3.332060134074217,0.04,0.07142857142857142,2.0,0.02,5
11.25,11345.099710093222,3.5051418813079196,3.395148025474823,0.04,0.07142857142857142,2.0,0.02,5
11.5,11345.064679980342,3.4775801748789252,3.4577398447838927,0.04,0.07142857142857142,2.0,0.02,5
11.75,11345.029925424304,3.4502350849364873,3.5198394907638737,0.04,0.07142857142857142,2.0,0.02,5
12.0,11344.995444257735,3.4231049107023668,3.581450831566311,0.04,0.07142857142857142,2.0,0.02,5
12.25,11344.961234330305,3.396187964725733,3.6425777049717105,0.04,0.07142857142857142,2.0,0.02,5
12.5,11344.927293508596,3.3694825727791415,3.7032239186275273,0.04,0.07142857142857142,2.0,0.02,5
12.75,11344.893619675962,3.34298707375532,3.7633932502842975,0.04,0.07142857142857142,2.0,0.02,5
13.0,11344.860210732408,3.316699819564751,3.8230894480299282,0.04,0.07142857142857142,2.0,0.02,5
13.25,11344.827064594447,3.2906191750340485,3.882316230522156,0.04,0.07142857142857142,2.0,0.02,5
